id,first_name,last_name,position,affiliation,page_type,url
,Maria Jose,Arteaga-Garavito,PhD,Bocconi University,HOME,https://majoarteaga.github.io/
,Matteo,Cremonini,PhD,Bocconi University,HOME,https://sites.google.com/view/matteo-cremonini
,Geraud,Desazars de Montgailhard,PhD,Bocconi University,HOME,https://sites.google.com/view/gerauddesazars
,Rubén,Fernandez Fuertes,PhD,Bocconi University,HOME,https://rubenfernandezfuertes.com/
,Nicola Maria,Fiore,PhD,Bocconi University,HOME,https://sites.google.com/view/nicola-maria-fiore/home
,Felix,Gerding,PhD,Bocconi University,HOME,https://sites.google.com/view/felix-gerding/home
,Alberto,Nasi,PhD,Bocconi University,HOME,https://albnasi.github.io/
,Adriano,Salerno,PhD,Bocconi University,HOME,https://www.adriano-salerno.com/
,Enrico,Stivella,PhD,Bocconi University,HOME,https://enrico-stivella.netlify.app/
,Ivan Jomin,Kim Taveras,PhD,Bocconi University,HOME,https://ivankimtaveras.github.io/
,Katarina,Kuske,PhD,Bocconi University,HOME,https://sites.google.com/view/katarinakuske/
,Ayah,Bohsali,PhD,Barcelona School of Economics,HOME,https://ayahbohsali.github.io/
,Pia,Ennuschat,PhD,Barcelona School of Economics,HOME,https://www.piaennuschat.com/
,Nathan,Jones,PhD,Barcelona School of Economics,HOME,https://nathan-jones.net/
,Manuel,Lleonart,PhD,Barcelona School of Economics,HOME,https://mallean.github.io/ManuelLleonart/
,Raquel,Lorenzo,PhD,Barcelona School of Economics,HOME,https://www.raquel-lorenzo.com/
,Luis,Menéndez,PhD,Barcelona School of Economics,HOME,https://luisignaciomenendez.github.io/
,Elliot,Motte,PhD,Barcelona School of Economics,HOME,https://elliot-motte.github.io/
,Alejandro,Rabano,PhD,Barcelona School of Economics,HOME,https://sites.google.com/view/alejandrorabano/
,Yaping,Wang,PhD,Barcelona School of Economics,HOME,https://yapingw.github.io/
,Martin,Wiegand,PhD,Barcelona School of Economics,HOME,https://m-wiegand.github.io/
,Robert,Wojciechowski,PhD,Barcelona School of Economics,HOME,https://robertwojciechowski.github.io/
,Simone,Zanella,PhD,Barcelona School of Economics,HOME,https://sites.google.com/view/simonezanellacavallero
,Assaf,Abraham,PhD,University of Mannheim,HOME,https://sites.google.com/view/assafyabraham/home
,Ursula,Berresheim,PhD,University of Mannheim,HOME,https://sites.google.com/view/ursula-berresheim
,Argun,Hild,PhD,University of Mannheim,HOME,https://argunhild.github.io/
,Michael,Hilweg-Waldeck,PhD,University of Mannheim,HOME,https://mhilweg.github.io/
,Marina,Hoch,PhD,University of Mannheim,HOME,https://sites.google.com/view/marinahoch/
,Daniel,Linnenbrink,PhD,University of Mannheim,HOME,https://sites.google.com/view/daniellinnenbrink/
,Siyu,Zhang,PhD,University of Mannheim,HOME,https://siyu94.github.io/
,Theodore,Caputi,PhD,Massachusetts Institute of Technology,HOME,https://www.theodorecaputi.com
,Anne,Carlstein,PhD,Massachusetts Institute of Technology,HOME,https://sites.google.com/view/anne-carlstein
,Alex,Carrasco,PhD,Massachusetts Institute of Technology,HOME,https://alex-carrasco.com
,Isabel,Di Tella,PhD,Massachusetts Institute of Technology,HOME,https://iditella.github.io/
,Raymond,Han,PhD,Massachusetts Institute of Technology,HOME,https://raymondwhan.github.io/
,Nathaniel,Hickok,PhD,Massachusetts Institute of Technology,HOME,https://nathanielhickok.com
,Andrew,Koh,PhD,Massachusetts Institute of Technology,HOME,https://www.andrewjkoh.com
,Pedro,Martinez-Bruera,PhD,Massachusetts Institute of Technology,HOME,https://www.pmbruera.com/
,Aroon,Narayanan,PhD,Massachusetts Institute of Technology,HOME,https://www.aroon.cc
,Vishan,Nigam,PhD,Massachusetts Institute of Technology,HOME,https://vishannigam.com/
,Kailash,Rajah,PhD,Massachusetts Institute of Technology,HOME,https://kailashrajah.com/
,Vincent,Rollet,PhD,Massachusetts Institute of Technology,HOME,https://www.vincent-rollet.com
,Reca,Sarfati,PhD,Massachusetts Institute of Technology,HOME,https://recasarfati.com/
,Nagisa,Tadjfar,PhD,Massachusetts Institute of Technology,HOME,https://nagisatadjfar.github.io
,Ishaana,Talesara,PhD,Massachusetts Institute of Technology,HOME,https://ishaanatalesara.github.io
,Kartik,Vira,PhD,Massachusetts Institute of Technology,HOME,https://www.kartikvira.com
,Arthur,Wickard,PhD,Massachusetts Institute of Technology,HOME,https://sites.google.com/view/arthurwickard
,Sejal,Aggarwal,PhD,Harvard University,HOME,https://aggarwalsejal.com/
,Victoria,Angelova,PhD,Harvard University,HOME,https://sites.google.com/view/victoriaangelova
,Sage,Belz,PhD,Harvard University,HOME,https://sage-belz.github.io/
,Lindsey,Currier,PhD,Harvard University,HOME,https://lcurrier.github.io/
,Andres,de Loera,PhD,Harvard University,HOME,https://www.andresdeloera.com
,Bnaya,Dreyfuss,PhD,Harvard University,HOME,https://b3fuss.github.io/
,Tilman,Graff,PhD,Harvard University,HOME,https://tilmangraff.github.io/
,Ruru,Hoong,PhD,Harvard University,HOME,https://www.ruruhoong.com
,Justin,Katz,PhD,Harvard University,HOME,https://jdikatz.github.io/
,Bas,Sanders,PhD,Harvard University,HOME,https://sandersbas.github.io/
,Shreya,Tandon,PhD,Harvard University,HOME,https://sites.google.com/view/shreya-tandon/
,Jennifer,Zou,PhD,Harvard University,HOME,https://jen-zou.github.io/
,Mohamad,Adhami,PhD,Stanford University,HOME,https://adhami.people.stanford.edu/
,Adrian,Blattner,PhD,Stanford University,HOME,https://www.adrianblattner.com/
,John,Bonney,PhD,Stanford University,HOME,https://www.johnbonney.com
,Lea,Bottmer,PhD,Stanford University,HOME,https://sites.google.com/stanford.edu/lbottmer/
,Lautaro,Chittaro,PhD,Stanford University,HOME,https://lautarochittaro.github.io
,Ben,Davies,PhD,Stanford University,HOME,https://bldavies.com
,Dante,Domenella,PhD,Stanford University,HOME,https://sites.google.com/view/ddomenella/
,Nick,Grasley,PhD,Stanford University,HOME,https://nickgrasley.github.io/
,Mariana,Guido,PhD,Stanford University,HOME,https://marianaguido.github.io
,Jonathan,Hartley,PhD,Stanford University,HOME,https://www.jonathanhartley.net/
,Florencia,Hnilo,PhD,Stanford University,HOME,https://www.florenciahnilo.com/
,Katja,Hofmann,PhD,Stanford University,HOME,https://ktjhofmann.github.io
,Zong,Huang,PhD,Stanford University,HOME,https://z-y-huang.github.io
,Helen,Kissel,PhD,Stanford University,HOME,https://www.helenkissel.com/
,Akhila,Kovvuri,PhD,Stanford University,HOME,https://www.akhilakovvuri.com/
,Bing,Liu,PhD,Stanford University,HOME,https://bingliu723.github.io
,Brendan,Moore,PhD,Stanford University,HOME,https://www.bmooreeconomics.com/
,Spencer,Pantoja,PhD,Stanford University,HOME,https://spantoja.com
,Anirudh,Sankar,PhD,Stanford University,HOME,https://sites.google.com/view/anirudh-sankar
,Marcelo,Sena,PhD,Stanford University,HOME,https://marcelosena.github.io/
,Jason,Weitze,PhD,Stanford University,HOME,https://jweitze.github.io/
,Qiyi,Zhao,PhD,Stanford University,HOME,https://sites.google.com/view/qiyizhao/home
,Evan,Flack,PhD,Stanford University,HOME,https://evanflack.com/
,Alexia,Olaizola,PhD,Stanford University,HOME,https://www.alexiaolaizola.com/
,Daliah,Al-Shakhshir,PhD,Stanford University,HOME,https://sites.google.com/view/dalshakhshir
,Cindy,Chung,PhD,Stanford University,HOME,https://sites.google.com/view/cindychung
,Natalie,Millar,PhD,Stanford University,HOME,https://www.nataliemillar.net/
,Victor,Degorce,Post-Doc,Princeton University,HOME,https://sites.google.com/princeton.edu/victordegorce
,Agata,Farina,Post-Doc,Princeton University,HOME,https://www.agatafarina.com/
,Davide,Bordoli,PhD,Yale University,HOME,https://davidebordoli.github.io/
,Jingyi,Cui,PhD,Yale University,HOME,https://jingyi-cui.github.io/
,Tianyu,Fan,PhD,Yale University,HOME,https://www.tianyu-fan.com/
,Samuel,Ho,PhD,Yale University,HOME,https://sites.google.com/view/samuel-ho/
,Ken,Jung,PhD,Yale University,HOME,https://jkennethjung.github.io/
,Rosie,Li,PhD,Yale University,HOME,https://rosie-li.com
,Christina,Qiu,PhD,Yale University,HOME,https://christinamqiu.github.io/
,Dana,Scott,PhD,Yale University,HOME,https://www.dana-scott.com/
,Songyuan,Teng,PhD,Yale University,HOME,https://songyuan-teng.github.io/
,Tuyetanh,Tran,PhD,Yale University,HOME,https://tuyetanhltran.github.io
,Zhichun,Wang,PhD,Yale University,HOME,https://sites.google.com/view/zhichun-wang/home
,Nick,Wu,PhD,Yale University,HOME,https://nwu.io
,Yan,Yan,PhD,Yale University,HOME,https://yanyan-econ.github.io/
,Ziqing,Yan,PhD,Yale University,HOME,https://ziqingyan.com/
,Chenping,Yang,PhD,Yale University,HOME,https://www.chenpingyang.com/
,Kan,Yao,PhD,Yale University,HOME,https://kan-yao.com/
,David,Almog,PhD,Northwestern University,HOME,https://www.david-almog.com/
,Vageesha,Bainwala,PhD,Northwestern University,HOME,https://sites.northwestern.edu/vbg4814
,Alex,Boche,PhD,Northwestern University,HOME,https://sites.northwestern.edu/kelloggphds/alex-boche/
,Gaoyang,Cai,PhD,Northwestern University,HOME,https://kelloggphds.northwestern.edu/gaoyang-cai/
,Hersh,Chopra,PhD,Northwestern University,HOME,https://sites.northwestern.edu/hershchopra/h/
,Federico,Crippa,PhD,Northwestern University,HOME,https://sites.northwestern.edu/federicocrippa
,Valerio,Di Tommaso,PhD,Northwestern University,HOME,https://sites.northwestern.edu/vdt6422/
,Bruno,Fava,PhD,Northwestern University,HOME,https://sites.northwestern.edu/bvf7587
,Danil,Fedchenko,PhD,Northwestern University,HOME,https://sites.northwestern.edu/danil/
,Andrea,Ferrara,PhD,Northwestern University,HOME,https://sites.northwestern.edu/afk6388/
,Nina,Fluegel,PhD,Northwestern University,HOME,https://sites.northwestern.edu/nfx2967
,Kenneth,Fu,PhD,Northwestern University,HOME,https://sites.northwestern.edu/kfz97630/
,Sanjana,Ghosh,PhD,Northwestern University,HOME,https://www.sanjanaghosh.com/
,Shera,Gong,PhD,Northwestern University,HOME,https://shera-gong.github.io/
,Luxi,Han,PhD,Northwestern University,HOME,https://sites.northwestern.edu/hluxi/
,Jose,Higueras,PhD,Northwestern University,HOME,https://sites.northwestern.edu/jhc2776/
,Andrei,Iakovlev,PhD,Northwestern University,HOME,https://sites.northwestern.edu/andreiiakovlev
,Elizabeth,Jaramillo-Rojas,PhD,Northwestern University,HOME,https://sites.northwestern.edu/elizabethjaramillo/
,Jimmy,Lee,PhD,Northwestern University,HOME,https://sites.google.com/u.northwestern.edu/jimmylee1992728
,Xiaojie,Liu,PhD,Northwestern University,HOME,https://xiaojieliu.weebly.com/
,Ludovica,Mosillo,PhD,Northwestern University,HOME,https://sites.northwestern.edu/lmk2027/
,Cristoforo,Pizzimenti,PhD,Northwestern University,HOME,https://sites.northwestern.edu/cpl9380/
,Radhika,Ramakrishnan,PhD,Northwestern University,HOME,https://sites.northwestern.edu/rry592
,Johanna,Rayl,PhD,Northwestern University,HOME,https://sites.northwestern.edu/johannarayl/
,Kevin,Ren,PhD,Northwestern University,HOME,https://ren-kevin.github.io/
,Matteo,Ruzzante,PhD,Northwestern University,HOME,https://sites.northwestern.edu/mrb4682/
,Sebastian,Sardon,PhD,Northwestern University,HOME,https://sites.northwestern.edu/ssardon/
,Christopher,Sims,PhD,Northwestern University,HOME,https://sites.northwestern.edu/cse5314/
,Elena,Stella,PhD,Northwestern University,HOME,https://elena-stella.com/
,Shallabh,Tiwari,PhD,Northwestern University,HOME,https://sites.northwestern.edu/kelloggphds/shallabh-tiwari/
,Micah,Villarreal,PhD,Northwestern University,HOME,https://sites.northwestern.edu/micahvillarreal/
,Xizhao,Wang,PhD,Northwestern University,HOME,https://sites.google.com/view/xizhaowang/
