researcher_id,first_name,last_name,db_affiliation,repec_name,repec_workplace,repec_homepage,repec_handle,match_type,confidence
799,Giancarlo,Corsetti,,Giancarlo Corsetti,European University Institute,http://sites.google.com/site/giancarlocorsetti/,REPEC:per:2005-03-17:giancarlo_corsetti,exact_name,unique
800,Keith,Kuester,,Keith Kuester,Rheinische Friedrich-Wilhelms-Universität Bonn,http://www.keithkuester.eu,REPEC:per:2010-05-02:keith_kuester,exact_name,unique
805,Mark,Trede,,Mark Trede,Universität Münster,http://www1.wiwi.uni-muenster.de/oeew/index.php/,REPEC:per:2011-02-27:mark_trede,exact_name,unique
808,Ralph,Luetticke,,Ralph Luetticke,Eberhard-Karls-Universität Tübingen,https://www.ralphluetticke.com/,REPEC:per:2019-09-18:ralph_luetticke,exact_name,unique
809,Maximilian,Boeck,,Maximilian Böck,Friedrich-Alexander-Universität Erlangen-Nürnberg,https://maximilian-boeck.webflow.io/,REPEC:per:2018-03-10:maximilian_boeck,exact_name,unique
810,Zeno,Enders,,Zeno Enders,Ruprecht-Karls-Universität Heidelberg,https://www.awi.uni-heidelberg.de/de/lehrstuehle/wirtschaftspolitik/team/prof-dr-zeno-enders,REPEC:per:1977-04-20:zeno_enders,exact_name,unique
816,Ingvild,Almås,,Ingvild Almås,CESifo,"http://www.nhh.no/en/research---faculty/department-of-economics/sam/cv/alm%C3%A5s,-ingvild.aspx",REPEC:per:2010-02-11:ingvild_almas,exact_name,unique
829,Marianne,Andries,,Marianne Andries,University of Southern California,https://sites.google.com/site/marianneandries/,REPEC:per:2013-04-28:marianne_andries,exact_name,unique
832,Alex,Imas,,Alex Imas,Carnegie Mellon University,https://sites.google.com/site/alexoimas/,REPEC:per:1985-05-16:alex_imas,exact_name,unique
836,Selim,Gulesci,,Selim Gulesci,Trinity College Dublin,https://sites.google.com/view/selimgulesci/,REPEC:per:1982-01-17:selim_gulesci,exact_name,unique
845,Manasi,Deshpande,,ManasI Deshpande,University of Chicago,https://economics.uchicago.edu/directory/manasi-deshpande,REPEC:per:2019-06-26:manasi_deshpande,exact_name,unique
847,Maxwell,Kellogg,,Maxwell Dylan Kellogg,Universitetet i Oslo,https://sites.google.com/view/maxkellogg,REPEC:per:1993-02-24:Maxwell_Dylan_Kellogg,exact_name,unique
852,Manudeep,Bhuller,,Manudeep Bhuller,Government of Norway,https://sites.google.com/site/manudeepbhuller,REPEC:per:2010-06-29:manudeep_bhuller,exact_name,unique
855,Emmanuel,Dhyne,,Emmanuel Dhyne,Université de Mons,http://sites.google.com/view/emmanueldhyne/home,REPEC:per:1970-09-03:emmanuel_dhyne,exact_name,unique
862,Kory,Kroft,,Kory Kroft,University of Toronto,http://korykroft.com,REPEC:per:1977-08-20:kory_kroft,exact_name,unique
863,Yao,Luo,,Yao Luo,University of Toronto,https://sites.google.com/site/luo8yao/home,REPEC:per:2022-07-13:yao_luo,exact_name,unique
873,Ivan,Canay,,Ivan Alexis Canay,Northwestern University,http://faculty.wcas.northwestern.edu/~iac879/,REPEC:per:2009-05-07:ivan_alexis_canay,exact_name,unique
875,Anna,Grodecka-Messi,,Anna Grodecka-Messi,Sveriges Riksbank,https://sites.google.com/view/grodecka-messi-anna/,REPEC:per:2014-06-01:anna_grodecka,exact_name,unique
876,Martin,Kliem,,Martin Kliem,Deutsche Bundesbank,http://www.bundesbank.de/research_martin_kliem,REPEC:per:2007-06-06:martin_kliem,exact_name,unique
878,Georgios,Georgiadis,,Georgios Georgiadis,European Central Bank,https://sites.google.com/site/georgiosgeorgiadis111/,REPEC:per:2012-05-09:georgios_georgiadis,exact_name,unique
880,Timothy,Besley,,Timothy Besley,London School of Economics (LSE),http://econ.lse.ac.uk/staff/tbesley/,REPEC:per:1991-06-26:timothy_besley,exact_name,unique
881,Maitreesh,Ghatak,,Maitreesh  Ghatak,London School of Economics (LSE),http://personal.lse.ac.uk/ghatak/,REPEC:per:1968-01-01:maitreesh_ghatak,exact_name,unique
882,Benjamin,Born,,Benjamin Born,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,http://www.benjaminborn.de,REPEC:per:2010-04-20:benjamin_born,exact_name,unique
883,Manuel,Menkhoff,,Manuel Menkhoff,Københavns Universitet,https://sites.google.com/view/manuelmenkhoff,REPEC:per:2020-09-08:manuel_menkhoff,exact_name,unique
885,Christian,Bayer,,Christian Bayer,Centre for Economic Policy Research (CEPR),http://www.wiwi.uni-bonn.de/bayer/,REPEC:per:2004-06-24:christian_bayer,exact_name,unique
886,Alexander,Kriwoluzky,,Alexander Kriwoluzky,Freie Universität Berlin,https://www.alexanderkriwoluzky.com/,REPEC:per:2006-05-24:alexander_kriwoluzky,exact_name,unique
